;"LLUVIA POBL.
(mm)";"TEMPERATURA
  MEDIA (ºc)";"APORTACIONES A LA PRESA
(hm³)";"VOLUMEN EMBALSADO
(hm³)";"VOLUMEN PARA RIEGO
(m³)";"VOLUMEN PARA ABASTECIMIENTO
(m³)";"VOLUMEN VERTIDO
(m³)"
19/06/1992;0;0;0,020780876;54,56;0;0;0
20/06/1992;0;0;-0,009779856;54,53;0;0;0
21/06/1992;1,5;0;0,005816754;54,53;0;0;0
22/06/1992;22;0;0,065266205;54,59;0;0;0
23/06/1992;9,5;0;0,035267917;54,62;0;0;0
24/06/1992;0;0;0,020517151;54,62;0;0;0
25/06/1992;0;0;-0,013369878;54,59;0;0;0
26/06/1992;0;0;0,020233315;54,59;0;0;0
27/06/1992;0;0;0,022173496;54,59;0;0;0
28/06/1992;0;0;0,020233315;54,59;0;0;0
29/06/1992;0;0;0,021619158;54,59;0;0;0
30/06/1992;0;0;0,019956146;54,59;0;0;0
01/07/1992;0;0;0,023005002;54,589;0;0;0
02/07/1992;0;0;-0,005002497;54,561;0;0;0
03/07/1992;0;0;-0,008441785;54,534;0;0;0
04/07/1992;0;0;0,022159062;54,534;0;0;0
05/07/1992;0;0;-0,007232598;54,506;0;0;0
06/07/1992;0;0;0,018552212;54,506;0;0;0
07/07/1992;0;0;-0,008623416;54,478;0;0;0
08/07/1992;0;0;0,002624674;54,368;0;0;0,09742
09/07/1992;0;0;0,017969161;54,368;0;0;0
10/07/1992;0;0;0,017969161;54,368;0;0;0
11/07/1992;0;0;-0,005338621;54,34;0;0;0
12/07/1992;0;0;0,016581497;54,34;0;0;0
13/07/1992;0;0;-0,009213728;54,312;0;0;0
14/07/1992;0;0;0,024035378;54,312;0;0;0
15/07/1992;0;0;0,020167616;54,312;0;0;0
16/07/1992;0;0;-0,006010412;54,285;0;0;0
17/07/1992;0;0;0,021541945;54,285;0;0;0
18/07/1992;0;0;0,023475197;54,285;0;0;0
19/07/1992;0;0;-0,007845514;54,257;0;0;0
20/07/1992;0;0;0,023743641;54,257;0;0;0
21/07/1992;0;0;0,022363196;54,257;0;0;0
22/07/1992;0;0;-0,002436086;54,23;0;0;0
23/07/1992;0;0;0,01987193;54,23;0;0;0
24/07/1992;0;0;0,022079923;54,23;0;0;0
25/07/1992;0;0;-0,015584094;54,202;0;0;0
26/07/1992;0;0;0,01986545;54,202;0;0;0
27/07/1992;0;0;0,016554542;54,202;0;0;0
28/07/1992;0;0;-0,004003718;54,174;0;0;0
29/07/1992;0;0;0,015445883;54,174;0;0;0
30/07/1992;0;0;0,030615947;54,174;0;0;0
31/07/1992;0,1;0;-0,015419368;54,147;0;0;0
01/08/1992;0;0;-0,011461607;54,119;0;0;0
02/08/1992;0;0;0,019570432;54,119;0;0;0
03/08/1992;0;0;-0,010742565;54,092;0;0;0
04/08/1992;0;0;-0,008993246;54,064;0;0;0
05/08/1992;0;0;0,003395981;53,926;0;0;0,11802
06/08/1992;0;0;-0,003906549;53,899;0;0;0
07/08/1992;0;0;-0,005463762;53,871;0;0;0
08/08/1992;0;0;-0,033675672;53,817;0;0;0
09/08/1992;0;0;-0,002740154;53,789;0;0;0
10/08/1992;0;0;0,01911161;53,762;0;0;0
11/08/1992;0;0;0,001334448;53,624;0;0;0,11385
12/08/1992;0;0;-0,005085065;53,597;0;0;0
13/08/1992;0;0;0,016436202;53,597;0;0;0
14/08/1992;0;0;0,004564015;53,433;0;0;0,15216
15/08/1992;0;0;-0,007228385;53,405;0;0;0
16/08/1992;0;0;-0,00978702;53,378;0;0;0
17/08/1992;0;0;0,016120092;53,378;0;0;0
18/08/1992;0;0;-0,008973275;53,351;0;0;0
19/08/1992;0;0;0,002443698;53,242;0;0;0,09044
20/08/1992;0;0;0,021276474;53,242;0;0;0
21/08/1992;0;0;0,002405889;53,133;0;0;0,08934
22/08/1992;0;0;0,025879746;53,133;0;0;0
23/08/1992;0;0;-0,007303002;53,105;0;0;0
24/08/1992;0;0;-0,005493033;53,078;0;0;0
25/08/1992;0;0;0,003419962;52,942;0;0;0,11822
26/08/1992;0;0;0,020928168;52,942;0;0;0
27/08/1992;0;0;0,01103878;52,915;0;0;0
28/08/1992;0;0;0,009255585;52,535;0;0;0,36248
29/08/1992;0;0;0,002341419;52,4;0;0;0,11385
30/08/1992;0;0;-0,004326056;52,373;0;0;0
31/08/1992;0;0;0,024293511;52,373;0;0;0
01/09/1992;0;0;0,002246504;52,292;0;0;0,05655
02/09/1992;0;0;0,004234275;52,131;0;0;0,14182
03/09/1992;0;0;0,245605552;52,211;0;0;0,15025
04/09/1992;0;0;-0,238458762;51,835;0;0;0,12172
05/09/1992;0;0;0,000540816;51,781;0;0;0,03873
06/09/1992;0;0;-0,009926493;51,755;0;0;0
07/09/1992;0;0;-0,01119962;51,728;0;0;0
08/09/1992;0;0;0,002521901;51,621;0;0;0,09294
09/09/1992;0;0;0,002624897;51,541;0;0;0,0698
10/09/1992;0;0;0,002330036;51,407;0;0;0,11339
11/09/1992;0;0;0,004713775;51,247;0;0;0,15513
12/09/1992;0;0;-0,01395973;51,22;0;0;0
13/09/1992;0;0;-0,02041316;51,194;0;0;0
14/09/1992;0;0;0,010641599;51,194;0;0;0
15/09/1992;0;0;0,005620368;51,008;0;0;0,17888
16/09/1992;0;0;-0,014794515;50,981;0;0;0
17/09/1992;0;0;0,004731608;50,849;0;0;0,12799
18/09/1992;0;0;0,001690722;50,769;0;0;0,07137
19/09/1992;0;0;-0,017799071;50,743;0;0;0
20/09/1992;0;0;-0,016157193;50,716;0;0;0
21/09/1992;0;0;-0,014896429;50,69;0;0;0
22/09/1992;0;0;0,004528077;50,558;0;0;0,12122
23/09/1992;0;0;0,002244993;50,426;0;0;0,10974
24/09/1992;0;0;0,003499535;50,294;0;0;0,11919
25/09/1992;0;0;0,003570778;50,189;0;0;0,09491
26/09/1992;6;0;0,001626507;50,137;0;0;0,04155
